fold,unimodal_best_f1,unimodal_best_acc,multimodal_best_f1,multimodal_best_acc,delta_f1,delta_acc
1,0.39960552268244576,0.43478260869565216,0.41147741147741146,0.5217391304347826,0.011871888794965701,0.08695652173913043
2,0.24358974358974358,0.375,0.45470085470085464,0.5625,0.21111111111111105,0.1875
3,0.163003663003663,0.2857142857142857,0.46153846153846156,0.5714285714285714,0.2985347985347986,0.2857142857142857
4,0.1282051282051282,0.21428571428571427,0.46153846153846156,0.5714285714285714,0.33333333333333337,0.3571428571428571
5,0.17316017316017315,0.3333333333333333,0.5454545454545454,0.6666666666666666,0.37229437229437223,0.3333333333333333
